EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
284743366,F,5,1,2489,25,2,865L,Below Standard,2426,46,At/Near Standard,2541,55,At/Near Standard,2462,73,At/Near Standard,2546,55,1,2535,20,3,870Q,At/Near Standard,2552,30,At/Near Standard,2480,37,At/Near Standard,2565,38
312266672,M,5,1,2400,25,1,670L,Below Standard,2409,43,Below Standard,2419,46,Below Standard,2197,111,At/Near Standard,2444,49,1,2458,22,2,655Q,Below Standard,2433,33,At/Near Standard,2469,41,At/Near Standard,2497,42
321288131,M,5,1,2444,26,2,765L,At/Near Standard,2448,46,Above Standard,2601,64,At/Near Standard,2447,58,Below Standard,2255,96,1,2526,19,2,845Q,At/Near Standard,2521,26,At/Near Standard,2507,41,At/Near Standard,2562,45
332658259,M,5,1,2378,27,1,620L,Below Standard,2410,43,Below Standard,2368,60,Below Standard,2383,59,Below Standard,2343,53,1,2457,26,2,650Q,At/Near Standard,2481,37,At/Near Standard,2345,142,At/Near Standard,2458,47
335336566,F,5,1,2401,25,1,670L,Below Standard,2402,42,Below Standard,2388,62,Below Standard,2367,63,Below Standard,2425,43,1,2470,21,2,685Q,Below Standard,2455,29,At/Near Standard,2497,41,At/Near Standard,2474,43
382623123,F,5,1,2554,29,3,1010L,Above Standard,2674,75,At/Near Standard,2575,59,At/Near Standard,2501,81,At/Near Standard,2367,124,1,2415,27,1,530Q,Below Standard,2430,35,Below Standard,2332,105,At/Near Standard,2446,58
481187873,F,5,1,2521,26,3,940L,At/Near Standard,2560,46,At/Near Standard,2425,73,At/Near Standard,2500,67,At/Near Standard,2542,46,1,2533,21,3,865Q,At/Near Standard,2517,31,At/Near Standard,2537,46,At/Near Standard,2559,42
525745754,M,5,1,2354,31,1,565L,Below Standard,2364,59,Below Standard,2378,81,At/Near Standard,2406,69,Below Standard,2309,56,1,2396,29,1,475Q,Below Standard,2414,36,Below Standard,2318,127,Below Standard,2396,67
554564473,F,5,1,2509,25,3,910L,At/Near Standard,2559,46,At/Near Standard,2513,61,At/Near Standard,2461,66,At/Near Standard,2473,48,1,2513,20,2,810Q,At/Near Standard,2507,31,At/Near Standard,2547,38,At/Near Standard,2492,39
555799862,F,5,1,2444,23,2,765L,Below Standard,2426,37,Below Standard,2345,53,At/Near Standard,2606,89,At/Near Standard,2485,42,1,2363,29,1,380Q,Below Standard,2369,44,Below Standard,2366,51,Below Standard,2346,63
567862886,F,5,1,2561,27,3,1025L,At/Near Standard,2508,44,At/Near Standard,2525,48,At/Near Standard,2586,84,Above Standard,2673,75,1,2490,23,2,745Q,Below Standard,2471,34,At/Near Standard,2459,53,At/Near Standard,2542,39
594618847,F,5,1,2608,26,4,1130L,Above Standard,2739,97,Above Standard,2631,60,At/Near Standard,2546,62,Above Standard,2583,43,1,2528,22,3,850Q,At/Near Standard,2499,34,At/Near Standard,2547,41,At/Near Standard,2565,43
598914989,M,5,1,2429,22,1,735L,At/Near Standard,2480,39,Below Standard,2402,43,Below Standard,2392,69,Below Standard,2406,45,1,2543,18,3,895Q,At/Near Standard,2568,28,At/Near Standard,2531,35,At/Near Standard,2505,42
676182857,F,5,1,2431,23,1,740L,Below Standard,2429,39,Below Standard,2418,47,At/Near Standard,2609,99,Below Standard,2365,52,1,2355,32,1,360Q,Below Standard,2392,39,Below Standard,2277,104,Below Standard,2323,90
676758234,F,5,1,2458,24,2,800L,At/Near Standard,2512,42,At/Near Standard,2533,59,Below Standard,2275,93,Below Standard,2431,45,1,2458,24,2,655Q,At/Near Standard,2485,31,Below Standard,2333,111,Below Standard,2442,56
